village_id,village_name,area_ha,mean_jun06,mean_jun19,mean_aug14,mean_oct13,std_jun06,std_jun19,std_aug14,std_oct13,coverage_jun06,coverage_jun19,coverage_aug14,coverage_oct13,flood_frac_avg,traj_slope,traj_range,traj_curvature,delta_aug14_jun19,delta_oct13_aug14,is_synthetic
1,Manpura,140.25931749815015,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,False
2,Umeta,471.08328756962607,21.620894555314717,17.857095375278995,20.371867651672027,22.5651287289821,18.3055973106091,18.23085386300145,18.48291518672081,18.45025692345345,0.4119974510272764,0.41237715830270527,0.43486446362054726,0.42393687844696815,0.4551238921674435,0.019281391275949,4.7080333537031045,0.0009171788150397637,2.514772276393032,2.1932610773100727,False
3,Sankhyad,379.99381922242065,23.368167154724045,,23.180480423695,22.976085673319616,18.255422005887944,,18.369992110157035,18.328316039245667,0.004210566442232087,0.0,0.0025237311959549744,0.001157856416415186,,-0.0030314607057314326,0.39208148140442844,-1.0643125919034974e-05,,-0.20439475037538202,False
4,Ampad,456.09888994487153,26.598748384185466,25.849312135693406,27.18393606285949,24.6681389085047,17.701760651632103,17.81622213218004,17.660865662794844,18.160985587930252,0.36827850334563894,0.3634684302530417,0.3550226072734384,0.3603545944203351,0.3051386583536525,-0.010335424357890612,2.5157971543547895,-0.0007567641086829315,1.334623927166085,-2.5157971543547895,False
5,Khanpur,188.04013521178592,28.185036172123922,27.788033640848436,27.49397043953403,24.91046281983797,17.056777250007094,17.027083339567238,17.301668129088622,17.95267877710112,0.012462715761377424,0.01511399524168279,0.01034666442822404,0.011853658929240845,0.2612897486596802,-0.023478695079203048,3.2745733522859517,-0.0005024697559381145,-0.29406320131440467,-2.5835076196960607,False
6,Ankod,510.8529592119426,27.67754074510063,27.95854951857707,27.481824477712227,25.002024806895417,17.307054843841946,17.09945939932164,17.452991483676712,18.03681337431461,0.38763119582881905,0.39704563684212363,0.38726499785409363,0.3894281674408052,0.26744063464133017,-0.020914070194085383,2.956524711681652,-0.0005989804727774684,-0.47672504086484224,-2.47979967081681,False
7,Singrot,1085.9210302223298,23.33035443497071,21.137966889982696,23.358946388417507,23.546133691773104,18.25059181368276,18.39091129196822,18.386918568155185,18.341376893490253,0.9442917564826269,0.9452304660528656,0.948424601782387,0.9466095381606323,0.3959594281536193,0.009967214279430724,2.408166801790408,8.925150400034993e-05,2.2209794984348115,0.1871873033555964,False
8,Undera,436.83234605609243,27.518306017190223,27.411253922271516,27.491249590682234,25.423874691684173,17.440497990392622,17.371181541291456,17.535995890956432,18.01333223763985,0.08233480515244748,0.0999214531221889,0.08904169850486776,0.08944369891906795,0.2771282021856092,-0.014930415413411178,2.0944313255060507,-0.0005217491932939497,0.07999566841071726,-2.067374898998061,False
9,Sherkhi,1224.6848061474027,25.246657393987736,24.58905686603808,25.706658757076028,24.223844527687966,17.964245505508362,18.008331350152716,17.96363849134097,18.214198162600766,0.939262946294121,0.939651526381041,0.9359442319657992,0.937683546840474,0.33324769044048264,-0.004250158074771852,1.4828142293880617,-0.0004665446048297892,1.1176018910379462,-1.4828142293880617,False
10,Bajwa,217.57638252429823,26.824376049683977,26.06794885161767,26.57295618992179,24.568094996537695,17.832107547502595,18.027654744625806,18.061143290216382,18.38298968791272,0.8612983433168888,0.8866514897371893,0.8752400896483753,0.8740575340872895,0.3051828256861642,-0.013989322788152526,2.2562810531462816,-0.0004425485666153484,0.5050073383041216,-2.0048611933840945,False
